ctprvn_nm,signgu_nm,signgu_cd,residnt_2030_cnt,ibllbr_fclt_cnt,museum_fclt_cnt,artgr_fclt_cnt,prfplc_fclt_cnt,fclt_cnt,ibllbr_rate,museum_rate,artgr_rate,prfplc_rate,fclt_rate,FILE_NAME,BASE_YMD
강원도,춘천시,42110,71508,10,11,4,1,26,1.39844E-4,1.53828E-4,5.5937E-5,1.3984E-5,3.63595E-4,KC_600_MIL_CLT_STATN_BIZAEA_2021,20200101
강원도,원주시,42130,90625,4,8,2,2,16,4.4137E-5,8.8275E-5,2.2068E-5,2.2068E-5,1.76551E-4,KC_600_MIL_CLT_STATN_BIZAEA_2021,20200101
강원도,강릉시,42150,46816,4,19,2,2,27,8.544E-5,4.05844E-4,4.272E-5,4.272E-5,5.76725E-4,KC_600_MIL_CLT_STATN_BIZAEA_2021,20200101
강원도,동해시,42170,18638,3,0,1,1,5,1.60961E-4,0.0,5.3653E-5,5.3653E-5,2.68269E-4,KC_600_MIL_CLT_STATN_BIZAEA_2021,20200101
강원도,태백시,42190,7482,3,2,0,1,6,4.00962E-4,2.67308E-4,0.0,1.33654E-4,8.01924E-4,KC_600_MIL_CLT_STATN_BIZAEA_2021,20200101
강원도,속초시,42210,18234,3,2,1,1,7,1.64527E-4,1.09685E-4,5.4842E-5,5.4842E-5,3.83898E-4,KC_600_MIL_CLT_STATN_BIZAEA_2021,20200101
강원도,삼척시,42230,13145,3,4,0,1,8,2.28223E-4,3.04298E-4,0.0,7.6074E-5,6.08596E-4,KC_600_MIL_CLT_STATN_BIZAEA_2021,20200101
강원도,홍천군,42720,13018,3,2,0,1,6,2.3045E-4,1.53633E-4,0.0,7.6816E-5,4.609E-4,KC_600_MIL_CLT_STATN_BIZAEA_2021,20200101
강원도,횡성군,42730,7312,3,1,0,1,5,4.10284E-4,1.36761E-4,0.0,1.36761E-4,6.83807E-4,KC_600_MIL_CLT_STATN_BIZAEA_2021,20200101
강원도,영월군,42750,6103,2,21,2,1,26,3.27707E-4,0.00344093,3.27707E-4,1.63853E-4,0.004260199,KC_600_MIL_CLT_STATN_BIZAEA_2021,20200101
